date,open,high,low,close,volume
2025-04-07,10346.75,10386.38,10239.44,10280.48,14397
2025-04-08,10253.47,10267.06,10157.94,10179.89,39641
2025-04-09,10127.71,10200.37,10055.82,10078.42,51408
2025-04-10,10092.76,10145.49,9987.33,10021.09,60139
2025-04-11,10080.58,10179.36,9998.34,10047.3,57110
2025-04-14,10045.54,10134.43,9946.79,9988.63,49627
2025-04-15,9929.17,10071.43,9877.06,9975.3,78458
2025-04-16,10001.68,10047.37,9867.13,9938.99,48446
2025-04-17,9939.55,9977.13,9779.85,9850.36,37028
2025-04-18,9873.0,9967.02,9710.23,9805.95,26940
2025-04-21,9789.61,9839.68,9748.24,9827.81,55913
2025-04-22,9783.93,9842.52,9753.72,9795.69,45265
2025-04-23,9785.0,9898.19,9695.5,9802.25,24711
2025-04-24,9785.58,9848.05,9649.96,9698.77,56964
2025-04-25,9685.32,9717.74,9562.93,9610.4,20773
2025-04-28,9584.17,9620.39,9448.81,9523.21,76322
2025-04-29,9528.16,9610.74,9389.83,9476.03,66864
2025-04-30,9490.4,9638.35,9396.94,9569.02,22766
2025-05-01,9588.0,9605.57,9521.82,9546.72,24253
2025-05-02,9506.86,9625.27,9493.63,9612.67,42752
2025-05-05,9586.55,9723.66,9553.7,9695.06,29118
2025-05-06,9650.96,9743.62,9570.14,9611.58,13369
2025-05-07,9592.18,9729.18,9565.49,9653.87,48410
2025-05-08,9686.65,9761.28,9600.14,9688.74,39453
2025-05-09,9746.73,9864.08,9660.12,9815.37,44732
2025-05-12,9784.65,9889.91,9739.4,9805.2,77818
2025-05-13,9843.01,10072.29,9783.67,9982.43,55588
2025-05-14,10041.22,10141.89,9965.16,10089.73,58408
2025-05-15,10044.5,10240.38,9998.28,10203.97,26241
2025-05-16,10150.93,10326.42,10109.33,10234.49,40698
2025-05-19,10283.3,10481.26,10257.42,10441.67,19492
2025-05-20,10393.34,10477.44,10294.72,10443.87,69774
2025-05-21,10440.49,10505.26,10399.22,10422.98,15939
2025-05-22,10366.02,10638.41,10346.97,10533.14,67382
2025-05-23,10535.88,10617.86,10510.79,10602.05,38460
2025-05-26,10649.5,10828.45,10581.82,10797.48,56442
2025-05-27,10820.7,10947.91,10753.19,10870.07,11066
2025-05-28,10845.49,10952.7,10770.76,10878.87,18365
2025-05-29,10891.72,11043.65,10837.91,10986.67,40464
2025-05-30,11036.18,11109.46,11009.88,11048.98,30285
2025-06-02,11006.66,11175.58,10968.66,11136.85,64473
2025-06-03,11116.55,11300.97,11104.57,11189.29,44844
2025-06-04,11171.94,11391.44,11153.6,11282.21,41533
2025-06-05,11288.53,11488.62,11196.4,11440.01,48672
2025-06-06,11415.78,11564.77,11330.95,11534.25,19851
2025-06-09,11590.37,11723.54,11578.2,11650.2,32674
2025-06-10,11647.25,11849.62,11573.01,11764.39,65979
2025-06-11,11809.54,11964.39,11782.7,11846.12,76463
2025-06-12,11795.31,11826.6,11762.06,11777.95,45494
2025-06-13,11798.7,11924.64,11765.38,11837.99,16999
2025-06-16,11828.41,11867.3,11669.82,11755.65,58884
2025-06-17,11700.14,11805.99,11685.39,11793.41,60800
2025-06-18,11779.91,11858.79,11675.72,11754.96,38610
2025-06-19,11789.28,11827.99,11695.52,11790.73,75089
2025-06-20,11767.52,11937.34,11730.3,11866.42,65716
2025-06-23,11825.25,11866.45,11700.02,11780.45,59548
2025-06-24,11716.14,11798.58,11602.53,11757.92,24692
2025-06-25,11721.15,11736.67,11599.44,11687.61,51840
2025-06-26,11677.11,11721.19,11565.5,11643.36,67679
2025-06-27,11585.59,11628.28,11441.2,11459.85,27627
2025-06-30,11517.64,11557.94,11335.44,11408.78,35879
2025-07-01,11410.84,11471.94,11363.93,11401.74,58678
2025-07-02,11337.15,11512.26,11256.35,11413.56,21344
2025-07-03,11472.42,11565.08,11445.55,11505.0,53711
2025-07-04,11494.35,11563.59,11235.96,11347.75,58937
2025-07-07,11335.43,11404.09,11191.22,11247.58,42791
2025-07-08,11254.97,11313.63,11119.45,11212.98,63899
2025-07-09,11209.76,11250.39,11121.29,11221.65,56376
2025-07-10,11171.45,11187.06,11102.69,11151.86,30919
2025-07-11,11088.14,11160.23,10981.34,11135.38,28890
2025-07-14,11096.0,11128.3,10961.22,11006.63,65529
2025-07-15,11036.28,11109.51,10943.57,11048.25,53757
2025-07-16,11023.92,11079.2,10930.36,10978.54,43174
2025-07-17,11019.11,11079.33,10853.66,10884.87,74272
2025-07-18,10860.88,10981.57,10816.55,10883.17,76815
2025-07-21,10890.16,10968.6,10870.92,10893.63,65182
2025-07-22,10849.67,10906.19,10696.99,10742.1,39341
2025-07-23,10804.34,10828.27,10540.38,10633.8,67724
2025-07-24,10674.14,10727.75,10602.54,10645.07,68973
2025-07-25,10658.61,10701.84,10555.01,10633.11,70703
2025-07-28,10612.3,10651.49,10502.06,10516.63,25352
2025-07-29,10567.77,10621.74,10536.35,10557.57,74905
2025-07-30,10611.51,10622.22,10534.61,10553.64,41392
2025-07-31,10589.93,10624.12,10504.29,10524.89,32177
2025-08-01,10540.88,10612.56,10364.93,10418.64,75067
2025-08-04,10381.55,10480.43,10190.18,10292.19,68607
2025-08-05,10279.65,10341.32,10145.81,10187.23,18925
2025-08-06,10218.48,10299.19,10132.68,10243.69,63566
2025-08-07,10264.49,10343.31,10199.82,10322.66,22329
2025-08-08,10284.9,10371.75,10210.97,10263.01,29270
2025-08-11,10236.97,10305.48,10130.04,10229.33,72369
2025-08-12,10222.37,10283.35,10091.73,10174.87,42077
2025-08-13,10212.18,10321.05,10177.61,10241.94,33373
2025-08-14,10204.97,10261.15,10108.22,10240.28,23680
2025-08-15,10244.96,10377.4,10231.31,10317.69,60643
2025-08-18,10345.75,10478.48,10329.84,10403.96,28483
2025-08-19,10367.16,10501.81,10302.85,10458.14,29177
2025-08-20,10502.28,10559.75,10430.08,10460.71,17392
2025-08-21,10463.87,10562.85,10381.09,10405.91,28797
2025-08-22,10413.46,10498.66,10390.5,10433.93,56280
2025-08-25,10391.39,10495.43,10349.32,10435.13,20945
2025-08-26,10394.41,10408.25,10319.53,10365.04,54837
2025-08-27,10349.72,10371.86,10210.36,10297.15,54793
2025-08-28,10272.76,10404.8,10184.8,10317.2,66560
2025-08-29,10326.55,10446.25,10229.34,10419.71,26345
2025-09-01,10433.93,10576.85,10396.67,10562.02,30200
2025-09-02,10505.09,10552.52,10444.86,10523.7,31582
2025-09-03,10471.55,10552.09,10432.45,10522.92,34272
2025-09-04,10581.34,10824.02,10531.32,10734.5,71604
2025-09-05,10726.49,10771.75,10678.43,10760.79,18427
2025-09-08,10702.37,10864.05,10662.38,10757.62,27993
2025-09-09,10806.26,10968.99,10698.44,10891.65,67986
2025-09-10,10937.32,11059.52,10917.82,11023.8,34465
2025-09-11,10967.98,11124.5,10875.6,11041.46,12973
2025-09-12,10985.82,11093.04,10930.0,11067.92,57969
2025-09-15,11038.78,11128.41,10966.64,11106.8,62654
2025-09-16,11057.58,11213.65,10979.28,11118.32,52560
2025-09-17,11069.06,11194.39,11032.32,11152.65,39210
2025-09-18,11210.38,11360.62,11124.57,11263.09,57001
2025-09-19,11264.24,11405.39,11247.85,11391.28,15155
2025-09-22,11412.41,11692.05,11378.36,11607.64,35218
2025-09-23,11652.26,11890.03,11602.09,11805.91,29956
2025-09-24,11863.07,12014.31,11824.1,11945.79,10417
2025-09-25,11992.52,12034.68,11898.29,11962.14,25213
2025-09-26,12017.78,12312.55,11999.52,12192.86,69864
2025-09-29,12185.41,12339.85,12090.87,12253.98,14412
2025-09-30,12319.85,12358.88,12209.62,12278.12,26864
2025-10-01,12233.55,12429.63,12169.51,12341.6,28276
2025-10-02,12375.64,12538.93,12301.66,12473.62,13931
2025-10-03,12506.54,12664.57,12419.81,12576.34,28525
2025-10-06,12519.44,12623.59,12409.86,12466.94,12560
2025-10-07,12440.8,12548.77,12318.19,12390.02,33347
2025-10-08,12337.67,12408.45,12200.47,12307.48,36455
2025-10-09,12316.5,12407.06,12269.37,12298.94,60373
2025-10-10,12262.1,12340.15,12193.11,12259.12,28290
2025-10-13,12223.03,12263.78,12090.7,12161.44,63590
2025-10-14,12174.32,12303.52,12060.19,12260.18,48260
2025-10-15,12281.24,12344.15,12192.39,12280.11,72338
2025-10-16,12319.15,12372.64,12220.95,12353.33,73032
2025-10-17,12354.38,12519.17,12335.66,12420.68,48518
2025-10-20,12418.05,12560.48,12394.19,12436.47,38664
2025-10-21,12483.98,12574.36,12413.95,12446.84,55685
2025-10-22,12453.64,12564.94,12380.1,12551.14,24490
2025-10-23,12476.49,12555.55,12367.88,12536.03,18242
2025-10-24,12554.15,12602.57,12458.44,12574.28,68315
2025-10-27,12509.09,12616.87,12479.73,12514.82,47384
2025-10-28,12517.65,12579.95,12383.1,12430.25,25186
2025-10-29,12409.44,12558.8,12332.71,12453.32,79248
2025-10-30,12484.46,12589.92,12438.99,12481.24,32666
2025-10-31,12413.46,12469.08,12344.35,12377.41,21618
2025-11-03,12422.75,12563.95,12376.77,12470.86,23914
2025-11-04,12431.67,12489.66,12233.45,12337.37,40584
2025-11-05,12335.86,12429.87,12180.43,12267.77,20090
